2019-08-24 19:48:05,b'RT @nurs18_: Favorit bgt nih \xe2\x99\xa5\xef\xb8\x8f\xf0\x9f\x98\xad\xf0\x9f\x98\xad\n#ONEOKROCK https://t.co/FCuDcEGLLA'
2019-08-24 19:43:40,b'RT @nurs18_: Favorit bgt nih \xe2\x99\xa5\xef\xb8\x8f\xf0\x9f\x98\xad\xf0\x9f\x98\xad\n#ONEOKROCK https://t.co/FCuDcEGLLA'
2019-08-24 19:43:37,b'RT @nurs18_: Favorit bgt nih \xe2\x99\xa5\xef\xb8\x8f\xf0\x9f\x98\xad\xf0\x9f\x98\xad\n#ONEOKROCK https://t.co/FCuDcEGLLA'
2019-08-24 19:42:37,"b'Hasil Kualifikasi MotoGp Inggris 2019\n\nMarc Marquez, pembalap Repsol Honda berhasil menjadi salah satu pembalap ter\xe2\x80\xa6 https://t.co/CcI215Dt8R'"
2019-08-24 19:41:07,b'Lama lak tk dengar lagu dorang.. Tetibe rindu \xf0\x9f\x92\x99 #ONEOKROCK'
2019-08-24 19:39:47,b'RT @nurs18_: Favorit bgt nih \xe2\x99\xa5\xef\xb8\x8f\xf0\x9f\x98\xad\xf0\x9f\x98\xad\n#ONEOKROCK https://t.co/FCuDcEGLLA'
2019-08-24 19:38:27,b'Pertama kali tau #ONEOKROCK dari film Rurouni Kenshin. Yang The Beginning. Asli keren juga tuh film. Sampe film ket\xe2\x80\xa6 https://t.co/qPm5AYUM1n'
2019-08-24 19:38:16,b'Enak banget ni lagu yak #ONEOKROCK https://t.co/Y5gAZIHwQp'
2019-08-24 19:36:52,b'RT @nurs18_: Favorit bgt nih \xe2\x99\xa5\xef\xb8\x8f\xf0\x9f\x98\xad\xf0\x9f\x98\xad\n#ONEOKROCK https://t.co/FCuDcEGLLA'
2019-08-24 19:34:19,b'RT @Taekook2114: Ada beberapa hal yg kita udah berekspetasi tinggi tapi kenyataannya ga sesuai mungkin aku yg terlalu berharap\xf0\x9f\x99\x82\n\n#ONEOKROCK\xe2\x80\xa6'
2019-08-24 19:34:14,b'RT @nurs18_: Favorit bgt nih \xe2\x99\xa5\xef\xb8\x8f\xf0\x9f\x98\xad\xf0\x9f\x98\xad\n#ONEOKROCK https://t.co/FCuDcEGLLA'
2019-08-24 19:34:06,b'RT @nurs18_: Favorit bgt nih \xe2\x99\xa5\xef\xb8\x8f\xf0\x9f\x98\xad\xf0\x9f\x98\xad\n#ONEOKROCK https://t.co/FCuDcEGLLA'
2019-08-24 19:33:13,b'RT @nurs18_: Favorit bgt nih \xe2\x99\xa5\xef\xb8\x8f\xf0\x9f\x98\xad\xf0\x9f\x98\xad\n#ONEOKROCK https://t.co/FCuDcEGLLA'
2019-08-24 19:33:07,b'RT @nurs18_: Favorit bgt nih \xe2\x99\xa5\xef\xb8\x8f\xf0\x9f\x98\xad\xf0\x9f\x98\xad\n#ONEOKROCK https://t.co/FCuDcEGLLA'
2019-08-24 19:31:45,b'Ga bisa untuk ga suka #ONEOKROCK'
2019-08-24 19:31:41,b'RT @CobaTanyaBapak: siap2 quota mereka akan berdendang malam ini\n#ONEOKROCK\n#AmbitionsJapanDomeTour https://t.co/72TBFjyHQK'
